checked_date,dataset_revision,component,group,hdf5_file_count,source_directory,verification_scope
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,contact,CircleShell,50,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/contact/CircleShell,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,contact,Star,41,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/contact/Star,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,contact,Tetrahedron,50,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/contact/Tetrahedron,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,contact,Torus,38,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/contact/Torus,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac45,grasp_classify,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac45/grasp_classify,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac45,insert_HDMI,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac45/insert_HDMI,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac45,insert_hole,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac45/insert_hole,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac45,insert_tube,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac45/insert_tube,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac45,lift_bottle,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac45/lift_bottle,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac45,lift_can,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac45/lift_can,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac45,pull_out_key,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac45/pull_out_key,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac45,put_bottle_in_shelf,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac45/put_bottle_in_shelf,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac51,grasp_classify,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac51/grasp_classify,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac51,insert_HDMI,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac51/insert_HDMI,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac51,insert_hole,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac51/insert_hole,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac51,insert_tube,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac51/insert_tube,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac51,lift_bottle,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac51/lift_bottle,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac51,lift_can,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac51/lift_can,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac51,pull_out_key,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac51/pull_out_key,provider_file_listing_only; payloads_not_validated
2026-09-19,e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd,isaac51,put_bottle_in_shelf,100,https://huggingface.co/datasets/byml/UniVTAC/tree/e1aee7b0c95543b535e0146b2de3ee1bc6ddaabd/isaac51/put_bottle_in_shelf,provider_file_listing_only; payloads_not_validated
