id,title,url,year,publisher,sourceTitle,sourceUrl,sensorPrinciple,modalities,formFactor,dataOutput,applications,evidence,limitations,reviewedAt
"tactidex-tactile-guided-dexterous-benchmark-2026","TactiDex benchmarks contact-level human-to-robot dexterity","https://roboskin.ai/research/tactidex-tactile-guided-dexterous-benchmark-2026","2026","arXiv","TactiDex tactile-guided dexterous manipulation benchmark preprint","https://arxiv.org/abs/2607.09190","Alignment of whole-hand tactile signals with multi-granularity kinematic and object states","whole-hand tactile signal; kinematic state; object state; human demonstration","Real-world tactile-guided benchmark covering single-hand and bimanual dexterous tasks","Aligned demonstration data, standardized evaluation metrics, and a tri-component tactile reward","human-to-robot skill transfer; contact-level manipulation evaluation; tactile-guided dexterity","preprint","The reviewed abstract reports stronger success and physical realism without supplying a universal cross-hardware score; conclusions remain bound to the authors’ tasks, systems, metrics, and preprint evaluation.","2026-08-21"
"feelworld-visuo-tactile-world-model-2026","FeelWorld predicts contact, tactile force states, and slip for robot planning","https://roboskin.ai/research/feelworld-visuo-tactile-world-model-2026","2026","arXiv","FeelWorld visuo-tactile world model preprint","https://arxiv.org/abs/2607.24267","Action-conditioned hierarchical visual-tactile world modeling","visual latent; contact state; force-related 3D tactile latent; slip state; robot action","Contact-aware world model evaluated on chip grasping, fruit grasping, and USB insertion","Predicted visual futures, contact state, tactile latent, and slip state for contact-aware planning","contact prediction; zero-shot robot planning; contact-rich manipulation","preprint","Preprint evidence tied to three reported task setups, sensors, robot system, baselines, and planning protocol; LPIPS is not a direct force, slip, safety, or transfer metric.","2026-08-15"
"ht-bench-full-hand-tactile-representations-2026","HT-Bench full-hand tactile benchmark for robot manipulation","https://roboskin.ai/research/ht-bench-full-hand-tactile-representations-2026","2026","arXiv","HT-Bench full-hand tactile representation benchmark preprint v2","https://arxiv.org/abs/2606.19161v2","Egocentric vision and full-hand tactile representation learning","egocentric RGB vision; full-hand tactile frames","Single reported egocentric/full-hand tactile pipeline spanning 226 data-collection tasks, plus four downstream real-robot tasks with 15 trials per method and task","10M RGB frames and 7.8M tactile frames, four representation-learning tracks, and source-reported downstream task success rates","tactile representation learning; dexterous manipulation; cross-modal prediction; bounded downstream robot evaluation","preprint","The v2 preprint is tied to one reported egocentric/full-hand tactile sensing pipeline. The authors list fingertip optical tactile sensors, force/torque sensors, skin-like taxel arrays, and non-hand embodiments as uncovered. The 68.3% HandTouch mean versus the strongest baseline mean of 50.0% comes from four tasks with 15 trials each and no reported confidence intervals or significance test; it is not universal generalization evidence. Data, protocols, weights, and scripts are promised for future release and were not verified as downloadable on 2026-08-22.","2026-08-22"
"dream-tac-tactile-world-action-model-2026","Dream-Tac: A Unified Tactile World Action Model for Contact-Rich Robot Manipulation","https://roboskin.ai/research/dream-tac-tactile-world-action-model-2026","2026","arXiv","Dream-Tac tactile world action model preprint","https://arxiv.org/html/2606.08737v1","Tactile world-action modeling","tactile observation; robot action","Contact-rich robot manipulation system","Predicted tactile observations conditioned on robot actions","contact prediction; robot manipulation","preprint","Preprint evidence; transfer across sensors, tasks, and deployment conditions still requires independent validation.","2026-07-10"
"single-material-soft-robotic-skin-2025","Single-material soft robotic skin for multimodal e-skin sensing","https://roboskin.ai/research/single-material-soft-robotic-skin-2025","2025","Science Robotics","Science Robotics peer-reviewed single-layer soft sensory skin article","https://doi.org/10.1126/scirobotics.adq2303","Single-layer conductive hydrogel with high-density electrical impedance tomography","touch and insulated presses; strain and proprioception; damage; local heating; temperature and humidity","Full-size hollow hydrogel hand with 32 wrist electrodes","Up to 863,040 electrode configurations yielding 1,726,080 amplitude-and-phase information channels","robot body sensing; multimodal e-skin","peer-reviewed","The 33 kHz maximum applies to one electrode configuration, while all 1,726,080 channels are reported at 0.02 Hz; durability, production integration, and real-world robotic-task testing remain open.","2026-08-22"
"freetacman-robot-free-visuotactile-data-collection-2025","FreeTacMan robot-free visuo-tactile data collection for tactile AI","https://roboskin.ai/research/freetacman-robot-free-visuotactile-data-collection-2025","2025","arXiv","FreeTacMan robot-free visuo-tactile data collection preprint","https://arxiv.org/abs/2506.01941","Robot-free visuo-tactile data collection","vision-based touch; contact motion","Portable tactile data-collection workflow","Paired tactile observations and interaction trajectories","tactile dataset collection; manipulation learning","preprint","Preprint evidence; dataset diversity and transfer to other tactile hardware remain evaluation questions.","2026-07-10"
"sparsh-x-multisensory-touch-representations-2025","Sparsh-X multisensory touch representations for tactile AI","https://roboskin.ai/research/sparsh-x-multisensory-touch-representations-2025","2025","arXiv","Sparsh-X multisensory touch representations preprint","https://arxiv.org/html/2506.14754v1","Multisensory tactile representation learning","tactile images; audio; motion; pressure","Digit 360 multisensory tactile representation model","Reusable latent touch representations","physical property inference; contact-rich manipulation","preprint","Preprint evidence; downstream performance depends on sensor coverage, task data, and evaluation protocol.","2026-07-10"
"genforce-transferable-force-sensing-2026","GenForce transferable force sensing for robot skin and tactile sensors","https://roboskin.ai/research/genforce-transferable-force-sensing-2026","2026","Nature Communications","Nature Communications GenForce tactile sensing article","https://www.nature.com/articles/s41467-026-68753-1","Cross-sensor force estimation through shared marker representations","three-axis force; optical and electronic tactile signals","Framework spanning GelSight, TacTip, and uSkin sensors","Estimated contact-force vectors","force-aware manipulation; sensor transfer","peer-reviewed","Published evaluation does not establish equivalent accuracy for every sensor geometry, material, or deployment environment.","2026-07-10"
"mitas-multi-resolution-tactile-imitation-learning-2026","MiTaS multi-resolution tactile imitation learning for robot hands","https://roboskin.ai/research/mitas-multi-resolution-tactile-imitation-learning-2026","2026","arXiv","MiTaS multi-resolution tactile imitation learning preprint","https://arxiv.org/html/2606.06281v1","Multi-resolution tactile imitation learning","vision-based touch; event-based touch","Tactile robot-hand learning pipeline","Time-aligned multisensor tactile features and robot actions","imitation learning; dexterous manipulation","preprint","Preprint evidence; benefits may depend on task dynamics, sensor timing, and the selected imitation-learning policy.","2026-07-10"
"ros2-kilted-tactile-pipeline-2026","ROS 2 tactile sensor pipeline for robot skin data replay","https://roboskin.ai/research/ros2-kilted-tactile-pipeline-2026","2026","Open Robotics documentation and RoboSkin.ai analysis","ROS 2 and ros2_control Kilted documentation","https://docs.ros.org/en/kilted/Releases.html","ROS 2 tactile data transport and synchronization","pressure; shear; slip; temperature","Robot middleware pipeline","Timestamped tactile messages, transforms, and replayable logs","robot integration; tactile dataset logging","documentation","Architecture guidance rather than a benchmark; message design and timing requirements remain application-specific.","2026-07-10"
"humanoid-visual-tactile-action-dataset-2025","GIST humanoid visual-tactile-action dataset maps 101.9K soft-object samples","https://roboskin.ai/research/humanoid-visual-tactile-action-dataset-2025","2025","GIST arXiv preprint","GIST humanoid visual-tactile-action dataset preprint, arXiv v2","https://arxiv.org/html/2510.25725v2","Dense humanoid-hand tactile sensing synchronized with vision, proprioception, and actions","848 × 480 egocentric vision; RealSense D435 third-person vision; dense hand tactile pressure; piezoresistive carpet pressure; arm and finger proprioception; robot actions","Unnamed teleoperated humanoid with two Inspire RH56-DFX hands and 1,062 tactile sensing units per hand","101.9K visual-tactile-action samples with 2,124 total hand tactile values","soft-object manipulation learning; visual-tactile-action policy training; dense tactile representation research","preprint","One unnamed humanoid embodiment, two soft objects, four pressure conditions, and three operators; as of 2026-08-22 no official dataset download, code, project page, or dataset license was verified, and the arXiv CC BY license covers the article rather than unpublished data files.","2026-08-22"
"wet-slippage-bionic-fingertip-eskin-2026","Wet slippage detection for bionic fingertip e-skin","https://roboskin.ai/research/wet-slippage-bionic-fingertip-eskin-2026","2026","Scientific Reports","Scientific Reports wet slippage bionic fingertip e-skin article","https://www.nature.com/articles/s41598-026-41096-z","Fingerprint-patterned ferroelectric piezoelectric microvibration sensing","dynamic slip microvibration; surface-material and wetness-dependent waveform","Fully printed flexible fingertip e-skin mounted on a soft robotic hand","Slip-voltage waveforms with FFT and STFT features for wetness and surface classification","wet and oily slip detection; robotic grasp monitoring; surface-material classification","peer-reviewed","Classification used 120 mixed-condition signals and a small set of food objects; closed-loop grip correction, abrasion, cleaning, and long-term surface wear were not demonstrated.","2026-07-21"
"spiking-touch-encoding-large-area-eskin-2026","Energy constrained touch encoding for large-area e-skin","https://roboskin.ai/research/spiking-touch-encoding-large-area-eskin-2026","2026","Nature Communications","Nature Communications bioinspired spiking touch encoding article","https://www.nature.com/articles/s41467-026-68858-7","Fiber Bragg Grating strain sensing with event-driven spiking neural decoding","contact strain; spike-encoded touch events; single- and multi-touch location","135 cm2 silicone forearm-shaped e-skin with 21 FBGs on one optical fiber and a neuromorphic processor","FBG wavelength shifts converted to spike trains and decoded into two-dimensional contact positions","large-area touch localization; energy-constrained robotic skin; safe human-robot interaction","peer-reviewed","The work is a 135 cm2 contact-localization demonstrator; error increased with contact count and body-scale transfer was not shown.","2026-07-21"
"origami-capacitive-robotic-eskin-2026","Origami capacitive robotic e-skin for large-area tactile sensing","https://roboskin.ai/research/origami-capacitive-robotic-eskin-2026","2026","npj Flexible Electronics","npj Flexible Electronics origami capacitive robotic e-skin article","https://www.nature.com/articles/s41528-026-00563-3","Origami deformation transmission with capacitive normal-force, shear, and proximity sensing","normal force; shear force; contact location; conductive-object proximity","60,000 mm2 multilayer origami e-skin mounted as four curved modules on a robotic arm","Capacitance vectors decoded into load location, force magnitude, shear direction, and proximity","large-area robot skin; collision-aware human-robot interaction; multi-point touch localization","peer-reviewed","Adjacent loads can merge, proximity sensing is limited to conductive objects, and the multilayer structure still requires broader deployment validation.","2026-07-21"
"slip-actuated-etextile-tactile-sensing-2025","Slip-actuated bionic tactile sensing with E-textile","https://roboskin.ai/research/slip-actuated-etextile-tactile-sensing-2025","2025","Nature Communications","Nature Communications slip-actuated bionic tactile sensing article","https://www.nature.com/articles/s41467-025-61843-6","Tribovoltaic dynamic-DC slip sensing paired with capacitive normal-force sensing","dynamic slip; normal force; sliding direction and velocity-dependent response","Stretchable PEDOT:PSS E-textile integrated on robotic fingers","Self-powered DC slip voltage and capacitive force signals used by a feedback controller","closed-loop slip mitigation; dexterous grasp monitoring; robotic manipulation","peer-reviewed","Tests used a specific titanium-textile interface and controlled gripper disturbances; durability and coating wear need broader deployment evidence.","2026-07-21"
"dexskin-high-coverage-conformable-robotic-skin-2025","DexSkin and high-coverage conformable robotic skin for manipulation","https://roboskin.ai/research/dexskin-high-coverage-conformable-robotic-skin-2025","2025","arXiv","DexSkin high-coverage conformable robotic skin preprint","https://arxiv.org/html/2509.18830v1","Conformable parallel-plate capacitive taxel skin with cross-instance calibration","localized normal force; distributed multi-contact patterns","Tailorable soft skin covering the dome and 294 degrees around parallel-jaw gripper fingers","Per-taxel capacitance readings and calibrated normal-force heatmaps","in-hand reorientation; elastic-band packaging; delicate object manipulation; robot learning","preprint","Robot experiments used a parallel-jaw gripper; an angular blind spot remains, policy inputs ignore spatial structure, and grounding relies on external jumper wires.","2026-07-21"
"full-hand-tactile-sensing-2025","Full-hand tactile sensing for adaptive dexterous grasping","https://roboskin.ai/research/full-hand-tactile-sensing-2025","2025","Nature Machine Intelligence","Nature Machine Intelligence full-hand tactile sensing paper","https://www.nature.com/articles/s42256-025-01053-3","Vision-based photometric-stereo sensing of elastomer deformation","distributed contact geometry; contact location; in-hand object pose","15-DoF anthropomorphic hand with 17 vision-based tactile sensors covering 70% of the palmar surface","Tactile images reconstructed into normal maps, contact geometry, and object-pose estimates","adaptive multi-object grasping; collision-aware replanning; dexterous manipulation","peer-reviewed","Results come from one custom hand and one task family; the controller assumes known object geometry and coverage is not complete hand or body coverage.","2026-07-21"
"temperature-pressure-bimodal-2025","Temperature/pressure bimodal sensing and the crosstalk problem","https://roboskin.ai/research/temperature-pressure-bimodal-2025","2025","Journal of Materials Chemistry C","RSC temperature/pressure bimodal tactile sensing review","https://pubs.rsc.org/en/content/articlehtml/2025/tc/d5tc02514a","Review of separate- and shared-output temperature and pressure sensor architectures and decoupling methods","pressure; temperature","Survey of flexible layered, sandwich, and stacked bimodal tactile sensors","Separate or algorithmically decoupled pressure and temperature measurements","robot tactile and thermal perception; human-machine interaction; wearable and environmental monitoring","peer-reviewed","This is a review rather than a single-device benchmark; crosstalk, environmental interference, interface compatibility, and long-term stability remain unresolved.","2026-07-21"
"event-based-opto-tactile-2025","Event-based tactile sensing for sparse, low-latency robot touch","https://roboskin.ai/research/event-based-opto-tactile-2025","2026","Frontiers in Neuroscience","Frontiers event-based opto-tactile skin article","https://www.frontiersin.org/journals/neuroscience/articles/10.3389/fnins.2025.1735068/full","Stereo Dynamic Vision Sensors observing deformation-induced light changes in a silicone optical waveguide","contact-change events; single-touch location","Flexible silicone optical-waveguide skin viewed laterally by two DVS cameras","Sparse polarity events clustered and triangulated into two-dimensional contact positions","large-area soft-robot touch localization; low-bandwidth interactive surfaces","peer-reviewed","The proof of concept used fixed-depth single presses, did not estimate force or multi-touch, and processed trials offline.","2026-07-21"
"large-area-flexible-tactile-arrays-2025","Large-area flexible tactile arrays for curved robot surfaces","https://roboskin.ai/research/large-area-flexible-tactile-arrays-2025","2025","ACS Applied Electronic Materials","ACS large-area flexible tactile sensor article","https://pubs.acs.org/doi/10.1021/acsaelm.5c01200","Skin-inspired rhombic-grid electrode array for spatial contact-force sensing","contact-force distribution; time-varying contact and slip; gesture trajectory","Large-area high-resolution flexible tactile array designed for curved surfaces","Spatial contact-force maps and contact-motion direction and velocity estimates","curved robotic skin; slip and gesture detection; human-machine interaction","peer-reviewed","Published evidence covers controlled curved-surface tests; whole-robot mounting, connector and data-rate behavior, contamination, and field repair are not established.","2026-07-21"
